,Time,ExpermientName,Subject,StartTime,CurrentTime,Section,Session,Round,Subtrial,ScenarioIndex,Reward_magnitude,Punishment_magnitude,DistanceAtStart,DistanceFromDoor_SubTrial,CurrentDistance,Distance_max,Distance_min,Distance_lock,RoundStartTime,DoorAction_RT,Door_opened,DoorStatus,Door_outcome,DidWin,Door_anticipation_time,ITI_duration,Total_coins,VASQuestionNumber,VAS_score,VAS_type,VAS_RT,Q_type,Q_score,Q_RT,ExperimentName
0,,,,1712674253.49323,3.63,VAS,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,Doors
0,,,,1712674253.49323,3.67,VAS,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,Doors
0,,,,1712674253.49323,3.69,VAS,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,Doors
0,,,,1712674253.49323,3.71,VAS,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,Doors
0,,,,1712674253.49323,3.72,VAS,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,Doors
0,,,,1712674253.49323,3.73,VAS,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,Doors
0,,,,1712674253.49323,3.74,VAS,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,Doors
0,,,,1712674253.49323,3.76,VAS,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,Doors
0,,,,1712674253.49323,3.77,VAS,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,Doors
0,,,,1712674253.49323,3.78,VAS,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,Doors
0,,,,1712674253.49323,3.79,VAS,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,Doors
0,,,,1712674253.49323,3.81,VAS,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,Doors
0,,,,1712674253.49323,3.82,VAS,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,Doors
0,,,,1712674253.49323,3.83,VAS,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,Doors
0,,,,1712674253.49323,3.84,VAS,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,Doors
0,,,,1712674253.49323,3.86,VAS,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,Doors
0,,,,1712674253.49323,3.87,VAS,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,Doors
0,,,,1712674253.49323,3.88,VAS,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,Doors
0,,,,1712674253.49323,3.89,VAS,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,Doors
0,,,,1712674253.49323,3.91,VAS,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,Doors
0,,,,1712674253.49323,3.92,VAS,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,Doors
0,,,,1712674253.49323,3.93,VAS,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,Doors
0,,,,1712674253.49323,3.94,VAS,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,Doors
0,,,,1712674253.49323,3.96,VAS,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,Doors
0,,,,1712674253.49323,3.97,VAS,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,Doors
0,,,,1712674253.49323,3.98,VAS,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,Doors
0,,,,1712674253.49323,3.99,VAS,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,Doors
0,,,,1712674253.49323,4.01,VAS,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,Doors
0,,,,1712674253.49323,4.02,VAS,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,Doors
0,,,,1712674253.49323,4.03,VAS,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,Doors
0,,,,1712674253.49323,4.04,VAS,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,Doors
0,,,,1712674253.49323,4.06,VAS,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,Doors
0,,,,1712674253.49323,4.07,VAS,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,Doors
0,,,,1712674253.49323,4.08,VAS,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,Doors
0,,,,1712674253.49323,4.09,VAS,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,Doors
0,,,,1712674253.49323,4.11,VAS,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,Doors
0,,,,1712674253.49323,4.12,VAS,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,Doors
0,,,,1712674253.49323,4.13,VAS,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,Doors
