,ExpermientName,Subject,Session,StartTime,CurrentTime,Step,Block,Scenario,TimeInCondition,Cue,Startle,Shock,FearRating,CueStart,CueEnd,InstructionScreenNum,HabituationNumShockType,VAS_score,VAS_type,VAS_RT,ExperimentName,ShockType,ScenarioIndex,HabituationNum,Section
0,,123,1,1779538379.9838479,59.4,Instructions,,,,,,,8,,,31,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,59.45,Instructions,,,,,,,8,,,31,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,59.51,Instructions,,,,,,,8,,,31,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,59.56,Instructions,,,,,,,8,,,31,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,59.61,Instructions,,,,,,,8,,,31,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,59.66,Instructions,,,,,,,8,,,31,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,59.71,Instructions,,,,,,,8,,,31,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,59.76,Instructions,,,,,,,8,,,31,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,59.81,Instructions,,,,,,,8,,,31,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,59.86,Instructions,,,,,,,8,,,31,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,59.92,Instructions,,,,,,,8,,,31,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,59.97,Instructions,,,,,,,8,,,31,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,60.02,Instructions,,,,,,,8,,,31,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,60.07,Instructions,,,,,,,8,,,31,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,60.12,Instructions,,,,,,,8,,,31,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,60.17,Instructions,,,,,,,8,,,31,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,60.23,Instructions,,,,,,,8,,,31,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,60.28,Instructions,,,,,,,8,,,31,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,60.33,Instructions,,,,,,,8,,,31,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,60.38,Instructions,,,,,,,8,,,31,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,60.43,Instructions,,,,,,,8,,,31,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,60.48,Instructions,,,,,,,8,,,31,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,60.53,Instructions,,,,,,,8,,,31,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,60.59,Instructions,,,,,,,8,,,31,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,60.68,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,60.74,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,60.79,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,60.84,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,60.89,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,60.94,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,60.99,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,61.04,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,61.1,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,61.15,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,61.2,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,61.25,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,61.3,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,61.35,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,61.41,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,61.46,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,61.51,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,61.56,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,61.61,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,61.66,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,61.71,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,61.77,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,61.82,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,61.87,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,61.92,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,61.97,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,62.02,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,62.07,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,62.12,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,62.18,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,62.23,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,62.28,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,62.33,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,62.38,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,62.43,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,62.48,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,62.54,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,62.59,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,62.64,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,62.69,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,62.74,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,62.79,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
0,,123,1,1779538379.9838479,62.84,Instructions,,,,,,,8,,,32,,,,,Fort,Sound,,,
