,ExpermientName,Subject,Session,StartTime,CurrentTime,Step,Block,Scenario,TimeInCondition,Cue,Startle,Shock,FearRating,CueStart,CueEnd,InstructionScreenNum,HabituationNumShockType,VAS_score,VAS_type,VAS_RT,ExperimentName,ShockType
0,,,1,1779537239.697122,25.97,Instructions,,,,,,,,,,7,,,,,Fort,Sound
0,,,1,1779537239.697122,26.02,Instructions,,,,,,,,,,7,,,,,Fort,Sound
0,,,1,1779537239.697122,26.07,Instructions,,,,,,,,,,7,,,,,Fort,Sound
0,,,1,1779537239.697122,26.13,Instructions,,,,,,,,,,7,,,,,Fort,Sound
0,,,1,1779537239.697122,26.18,Instructions,,,,,,,,,,7,,,,,Fort,Sound
0,,,1,1779537239.697122,26.23,Instructions,,,,,,,,,,7,,,,,Fort,Sound
0,,,1,1779537239.697122,26.28,Instructions,,,,,,,,,,7,,,,,Fort,Sound
0,,,1,1779537239.697122,26.33,Instructions,,,,,,,,,,7,,,,,Fort,Sound
0,,,1,1779537239.697122,26.38,Instructions,,,,,,,,,,7,,,,,Fort,Sound
0,,,1,1779537239.697122,26.44,Instructions,,,,,,,,,,7,,,,,Fort,Sound
0,,,1,1779537239.697122,26.49,Instructions,,,,,,,,,,7,,,,,Fort,Sound
0,,,1,1779537239.697122,26.54,Instructions,,,,,,,,,,7,,,,,Fort,Sound
0,,,1,1779537239.697122,26.59,Instructions,,,,,,,,,,7,,,,,Fort,Sound
0,,,1,1779537239.697122,26.64,Instructions,,,,,,,,,,7,,,,,Fort,Sound
0,,,1,1779537239.697122,26.7,Instructions,,,,,,,,,,7,,,,,Fort,Sound
0,,,1,1779537239.697122,26.75,Instructions,,,,,,,,,,7,,,,,Fort,Sound
0,,,1,1779537239.697122,26.8,Instructions,,,,,,,,,,7,,,,,Fort,Sound
0,,,1,1779537239.697122,26.85,Instructions,,,,,,,,,,7,,,,,Fort,Sound
0,,,1,1779537239.697122,26.9,Instructions,,,,,,,,,,7,,,,,Fort,Sound
0,,,1,1779537239.697122,27.01,Instructions,,,,,,,,,,8,,,,,Fort,Sound
0,,,1,1779537239.697122,27.06,Instructions,,,,,,,,,,8,,,,,Fort,Sound
0,,,1,1779537239.697122,27.12,Instructions,,,,,,,,,,8,,,,,Fort,Sound
0,,,1,1779537239.697122,27.17,Instructions,,,,,,,,,,8,,,,,Fort,Sound
0,,,1,1779537239.697122,27.22,Instructions,,,,,,,,,,8,,,,,Fort,Sound
0,,,1,1779537239.697122,27.27,Instructions,,,,,,,,,,8,,,,,Fort,Sound
0,,,1,1779537239.697122,27.32,Instructions,,,,,,,,,,8,,,,,Fort,Sound
0,,,1,1779537239.697122,27.37,Instructions,,,,,,,,,,8,,,,,Fort,Sound
0,,,1,1779537239.697122,27.42,Instructions,,,,,,,,,,8,,,,,Fort,Sound
0,,,1,1779537239.697122,27.48,Instructions,,,,,,,,,,8,,,,,Fort,Sound
0,,,1,1779537239.697122,27.53,Instructions,,,,,,,,,,8,,,,,Fort,Sound
0,,,1,1779537239.697122,27.58,Instructions,,,,,,,,,,8,,,,,Fort,Sound
0,,,1,1779537239.697122,27.63,Instructions,,,,,,,,,,8,,,,,Fort,Sound
0,,,1,1779537239.697122,27.68,Instructions,,,,,,,,,,8,,,,,Fort,Sound
0,,,1,1779537239.697122,27.73,Instructions,,,,,,,,,,8,,,,,Fort,Sound
0,,,1,1779537239.697122,27.83,Instructions,,,,,,,,,,9,,,,,Fort,Sound
0,,,1,1779537239.697122,27.89,Instructions,,,,,,,,,,9,,,,,Fort,Sound
0,,,1,1779537239.697122,27.94,Instructions,,,,,,,,,,9,,,,,Fort,Sound
0,,,1,1779537239.697122,27.99,Instructions,,,,,,,,,,9,,,,,Fort,Sound
0,,,1,1779537239.697122,28.04,Instructions,,,,,,,,,,9,,,,,Fort,Sound
0,,,1,1779537239.697122,28.09,Instructions,,,,,,,,,,9,,,,,Fort,Sound
0,,,1,1779537239.697122,28.14,Instructions,,,,,,,,,,9,,,,,Fort,Sound
0,,,1,1779537239.697122,28.19,Instructions,,,,,,,,,,9,,,,,Fort,Sound
0,,,1,1779537239.697122,28.24,Instructions,,,,,,,,,,9,,,,,Fort,Sound
0,,,1,1779537239.697122,28.3,Instructions,,,,,,,,,,9,,,,,Fort,Sound
0,,,1,1779537239.697122,28.39,Instructions,,,,,,,,,,10,,,,,Fort,Sound
0,,,1,1779537239.697122,28.44,Instructions,,,,,,,,,,10,,,,,Fort,Sound
0,,,1,1779537239.697122,28.5,Instructions,,,,,,,,,,10,,,,,Fort,Sound
0,,,1,1779537239.697122,28.55,Instructions,,,,,,,,,,10,,,,,Fort,Sound
0,,,1,1779537239.697122,28.6,Instructions,,,,,,,,,,10,,,,,Fort,Sound
0,,,1,1779537239.697122,28.65,Instructions,,,,,,,,,,10,,,,,Fort,Sound
0,,,1,1779537239.697122,28.7,Instructions,,,,,,,,,,10,,,,,Fort,Sound
0,,,1,1779537239.697122,28.75,Instructions,,,,,,,,,,10,,,,,Fort,Sound
0,,,1,1779537239.697122,28.8,Instructions,,,,,,,,,,10,,,,,Fort,Sound
0,,,1,1779537239.697122,28.86,Instructions,,,,,,,,,,10,,,,,Fort,Sound
0,,,1,1779537239.697122,28.91,Instructions,,,,,,,,,,10,,,,,Fort,Sound
0,,,1,1779537239.697122,28.96,Instructions,,,,,,,,,,10,,,,,Fort,Sound
0,,,1,1779537239.697122,29.07,Instructions,,,,,,,,,,11,,,,,Fort,Sound
0,,,1,1779537239.697122,29.12,Instructions,,,,,,,,,,11,,,,,Fort,Sound
0,,,1,1779537239.697122,29.17,Instructions,,,,,,,,,,11,,,,,Fort,Sound
0,,,1,1779537239.697122,29.22,Instructions,,,,,,,,,,11,,,,,Fort,Sound
0,,,1,1779537239.697122,29.27,Instructions,,,,,,,,,,11,,,,,Fort,Sound
0,,,1,1779537239.697122,29.37,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,29.42,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,29.47,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,29.52,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,29.57,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,29.62,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,29.68,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,29.73,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,29.78,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,29.83,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,29.88,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,29.93,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,29.98,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,30.03,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,30.09,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,30.14,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,30.19,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,30.24,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,30.29,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,30.34,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,30.39,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,30.44,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,30.5,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,30.55,Instructions,,,,,,,,,,12,,,,,Fort,Sound
