,Time,ExpermientName,Subject,StartTime,CurrentTime,Section,Session,Round,Subtrial,ScenarioIndex,Reward_magnitude,Punishment_magnitude,DistanceAtStart,DistanceFromDoor_SubTrial,CurrentDistance,Distance_max,Distance_min,Distance_lock,RoundStartTime,DoorAction_RT,Door_opened,DoorStatus,Door_outcome,DidWin,Door_anticipation_time,ITI_duration,Total_coins,VASQuestionNumber,VAS_score,VAS_type,VAS_RT,Q_type,Q_score,Q_RT,ExperimentName
0,,,178,1708866013.5259142,767.55,VAS1,1,1,,,,,,,,,,,,,,,,,,,,1,46,Anxiety,13.274485111236572,,,,Doors
0,,,178,1708866013.5259142,773.75,VAS1,1,1,,,,,,,,,,,,,,,,,,,,2,70,Avoidance,6.1784889698028564,,,,Doors
0,,,178,1708866013.5259142,777.55,VAS1,1,1,,,,,,,,,,,,,,,,,,,,3,24,Tired,3.7795817852020264,,,,Doors
0,,,178,1708866013.5259142,786.53,VAS1,1,1,,,,,,,,,,,,,,,,,,,,4,66,Mood,8.95863151550293,,,,Doors
0,,,178,1708866013.5259142,988.96,Practice,1,,1,0,0,0,0,100,100,100,50,0,970.2,8092.2,1,opened,reward,1,3870.70292175485,1.9735594571600772,0,,,,,,,,Doors
0,,,178,1708866013.5259142,1003.14,Practice,1,,2,0,0,0,0,0,0,92,0,0,989.48,3998.22,0,closed,,,3173.470931745264,1.6797178529572494,0,,,,,,,,Doors
0,,,178,1708866013.5259142,1017.12,Practice,1,,3,0,0,0,0,76,76,76,50,0,1003.47,3321.26,1,opened,punishment,0,3250.8495545898713,2.267992694717101,0,,,,,,,,Doors
0,,,178,1708866013.5259142,1117.07,Simulation,1,0,1,90,6,5,50,64,64,64,50,0,1102.57,3837.74,1,opened,reward,1,3241.721000193761,1.8311187274280942,6,,,,,,,,Doors
0,,,178,1708866013.5259142,1132.32,Simulation,1,0,2,62,2,5,50,18,18,50,18,0,1117.74,4360.64,1,opened,punishment,0,3046.6091121233753,1.6073741862704536,1,,,,,,,,Doors
0,,,178,1708866013.5259142,1146.31,Simulation,1,0,3,77,4,6,50,0,0,50,0,0,1132.68,2577.59,0,closed,,,3786.68171931041,2.4048115374099415,1,,,,,,,,Doors
0,,,178,1708866013.5259142,1159.8,Simulation,1,0,4,80,5,2,50,68,68,68,50,0,1146.77,3537.88,0,closed,,,3573.9483662542343,1.0509730188384652,1,,,,,,,,Doors
0,,,178,1708866013.5259142,1171.99,Simulation,1,0,5,82,5,4,50,50,50,50,50,0,1160.2,1794.05,0,closed,,,3323.8519790189766,1.8717468688109677,1,,,,,,,,Doors
0,,,178,1708866013.5259142,1226.24,TaskRun1,1,1,1,95,7,3,50,50,50,50,50,0,1209.37,7118.15,0,closed,,,3654.478616252733,1.2576208782339857,0,,,,,,,,Doors
0,,,178,1708866013.5259142,1239.39,TaskRun1,1,1,2,55,1,5,50,0,0,50,0,0,1226.61,2650.58,0,closed,,,3060.7872824806313,2.241599940442586,0,,,,,,,,Doors
0,,,178,1708866013.5259142,1251.41,TaskRun1,1,1,3,54,1,4,50,9,9,50,9,0,1239.93,2437.2,0,closed,,,3187.0791749481723,1.0345993863445404,0,,,,,,,,Doors
0,,,178,1708866013.5259142,1265.19,TaskRun1,1,1,4,76,4,5,50,32,32,50,32,0,1251.77,3276.83,0,closed,,,3461.1943218762012,1.7896356578315833,0,,,,,,,,Doors
0,,,178,1708866013.5259142,1279.32,TaskRun1,1,1,5,72,4,1,50,77,77,77,50,0,1265.56,3844.55,1,opened,punishment,0,3137.1937700525837,1.162985330565108,-1,,,,,,,,Doors
0,,,178,1708866013.5259142,1293.92,TaskRun1,1,1,6,98,7,6,50,50,50,50,50,0,1279.63,3846.12,0,closed,,,3614.135657554688,2.0240367506717503,-1,,,,,,,,Doors
0,,,178,1708866013.5259142,1306.73,TaskRun1,1,1,7,78,4,7,50,43,43,50,43,0,1294.31,2485.83,0,closed,,,3131.349846628384,1.9203258781024963,-1,,,,,,,,Doors
0,,,178,1708866013.5259142,1318.45,TaskRun1,1,1,8,67,3,3,50,50,50,50,50,0,1307.2,1452.13,0,closed,,,3862.8106992872104,1.0646155932596775,-1,,,,,,,,Doors
0,,,178,1708866013.5259142,1330.76,TaskRun1,1,1,9,81,5,3,50,60,60,60,50,0,1318.76,2767.72,0,closed,,,3221.3693091152054,1.1557720335565573,-1,,,,,,,,Doors
0,,,178,1708866013.5259142,1344.45,TaskRun1,1,1,10,96,7,4,50,80,80,80,50,0,1331.11,2639.84,0,closed,,,3938.943030622341,1.8903970582058554,-1,,,,,,,,Doors
0,,,178,1708866013.5259142,1359.38,TaskRun1,1,1,11,90,6,5,50,60,60,60,50,0,1344.94,4557.74,0,closed,,,3581.6964847828663,1.4546189753868946,-1,,,,,,,,Doors
0,,,178,1708866013.5259142,1373.04,TaskRun1,1,1,12,79,5,1,50,100,100,100,50,0,1359.72,3040.88,1,opened,reward,1,3352.637531594772,1.281335787664394,4,,,,,,,,Doors
0,,,178,1708866013.5259142,1386.34,TaskRun1,1,1,13,69,3,5,50,12,12,50,12,0,1373.43,2419.22,0,closed,,,3613.6287549868657,2.084983454639231,4,,,,,,,,Doors
0,,,178,1708866013.5259142,1398.55,TaskRun1,1,1,14,71,3,7,50,14,14,50,14,0,1386.81,2049.64,0,closed,,,3270.5046610064487,1.6132352659620826,4,,,,,,,,Doors
0,,,178,1708866013.5259142,1413.58,TaskRun1,1,1,15,87,6,2,50,77,77,77,50,0,1398.93,2858.48,1,opened,reward,1,3971.3804668443317,2.1594357349960447,10,,,,,,,,Doors
0,,,178,1708866013.5259142,1427.21,TaskRun1,1,1,16,68,3,4,50,30,30,50,30,0,1414.11,2419.99,0,closed,,,3971.654907582333,1.8688730040951265,10,,,,,,,,Doors
0,,,178,1708866013.5259142,1440.59,TaskRun1,1,1,17,70,3,6,50,26,26,50,26,0,1427.54,2463.83,0,closed,,,3515.0260757426095,2.1994687322790965,10,,,,,,,,Doors
0,,,178,1708866013.5259142,1453.44,TaskRun1,1,1,18,99,7,7,50,50,50,50,50,0,1441.14,2357.66,0,closed,,,3237.214252501369,1.7535951341991136,10,,,,,,,,Doors
0,,,178,1708866013.5259142,1464.95,TaskRun1,1,1,19,84,5,6,50,42,42,50,42,0,1453.81,1814.17,0,closed,,,3022.153282139391,1.4185332125623886,10,,,,,,,,Doors
0,,,178,1708866013.5259142,1478.93,TaskRun1,1,1,20,56,1,6,50,0,0,50,0,0,1465.33,2675.78,0,closed,,,3859.8138645642834,2.1488327719616063,10,,,,,,,,Doors
0,,,178,1708866013.5259142,1493.4,TaskRun1,1,1,21,92,6,7,50,50,50,50,50,0,1479.52,3576.44,1,opened,punishment,0,3331.984899725664,1.2884087367583406,3,,,,,,,,Doors
0,,,178,1708866013.5259142,1507.1,TaskRun1,1,1,22,52,1,2,50,42,42,50,42,0,1493.72,4347.12,0,closed,,,3046.1130960871433,1.196219831179587,3,,,,,,,,Doors
0,,,178,1708866013.5259142,1520.75,TaskRun1,1,1,23,75,4,4,50,50,50,50,50,0,1507.65,1554.8,1,opened,punishment,0,3455.611283196074,2.249558528496441,-1,,,,,,,,Doors
0,,,178,1708866013.5259142,1533.71,TaskRun1,1,1,24,97,7,5,50,62,62,62,50,0,1521.14,2013.43,0,closed,,,3186.960051837346,2.492033847357516,-1,,,,,,,,Doors
0,,,178,1708866013.5259142,1547.89,TaskRun1,1,1,25,82,5,4,50,56,56,56,50,0,1534.14,2455.78,1,opened,reward,1,3622.35539954665,2.011261395278963,4,,,,,,,,Doors
0,,,178,1708866013.5259142,1563.42,TaskRun1,1,1,26,94,7,2,50,82,82,90,50,0,1548.24,4370.79,1,opened,reward,1,3184.2771768091484,2.0951548361066727,11,,,,,,,,Doors
0,,,178,1708866013.5259142,1579.26,TaskRun1,1,1,27,73,4,2,50,64,64,68,50,0,1563.8,5448.89,0,closed,,,3474.913887356678,1.6427417765851264,11,,,,,,,,Doors
0,,,178,1708866013.5259142,1594.18,TaskRun1,1,1,28,64,2,7,50,0,0,50,0,0,1579.78,3178.66,0,closed,,,3833.056501326348,2.469262244624999,11,,,,,,,,Doors
0,,,178,1708866013.5259142,1608.72,TaskRun1,1,1,29,74,4,3,50,56,56,56,50,0,1594.79,2476.44,1,opened,reward,1,3313.9077199197527,2.3703988668666875,15,,,,,,,,Doors
0,,,178,1708866013.5259142,1622.18,TaskRun1,1,1,30,91,6,6,50,50,50,50,50,0,1609.25,2296.55,1,opened,reward,1,3595.287259342792,1.3394517708250742,21,,,,,,,,Doors
0,,,178,1708866013.5259142,1635.33,TaskRun1,1,1,31,51,1,1,50,50,50,50,50,0,1622.52,1404.51,1,opened,reward,1,3800.7707981892268,2.0372794608817717,22,,,,,,,,Doors
0,,,178,1708866013.5259142,1650.63,TaskRun1,1,1,32,88,6,3,50,66,66,66,50,0,1635.94,2753.08,1,opened,punishment,0,3894.1197023256823,2.248220734395302,19,,,,,,,,Doors
0,,,178,1708866013.5259142,1662.83,TaskRun1,1,1,33,59,2,2,50,50,50,50,50,0,1651.11,1222.34,0,closed,,,3877.035716907785,1.7453388213449628,19,,,,,,,,Doors
0,,,178,1708866013.5259142,1675.81,TaskRun1,1,1,34,53,1,3,50,6,6,50,6,0,1663.24,2680.22,0,closed,,,3415.0367837347853,1.52476881887097,19,,,,,,,,Doors
0,,,178,1708866013.5259142,1688.23,TaskRun1,1,1,35,65,3,1,50,76,76,76,50,0,1676.14,2742.14,0,closed,,,3036.307388136504,1.4584231290088572,19,,,,,,,,Doors
