Event.Nr	CDA.nSCR	CDA.Latency	CDA.AmpSum	CDA.SCR	CDA.ISCR	CDA.PhasicMax	CDA.Tonic	TTP.nSCR	TTP.Latency	TTP.AmpSum	Global.Mean	Global.MaxDeflection	Event.NID	Event.Name
  1	 1	2.8912	0.0111	0.0006	0.0885	0.0634	13.0976	 0	   NaN	0.0000	13.1145	0.0016	 95	"95"
  2	 1	1.0162	0.0111	0.0006	0.0962	0.0686	13.0502	 0	   NaN	0.0000	13.0707	0.0011	 20	"20"
  3	 1	3.5113	0.0108	0.0005	0.0859	0.0666	12.9050	 0	   NaN	0.0000	12.9254	0.0019	 21	"21"
  4	 4	0.1298	0.1570	0.0030	0.4767	0.1888	12.8161	 0	   NaN	0.0000	12.8884	0.0160	 22	"22"
  5	 3	0.6463	0.0716	0.0018	0.2923	0.1226	12.7467	 0	   NaN	0.0000	12.8395	0.0018	 23	"23"
  6	 0	   NaN	0.0000	0.0005	0.0732	0.0837	12.6392	 0	   NaN	0.0000	12.6718	0.0033	 24	"24"
  7	 0	   NaN	0.0000	0.0004	0.0662	0.0569	12.5676	 0	   NaN	0.0000	12.5923	0.0010	 25	"25"
  8	 4	0.3162	0.1179	0.0022	0.3578	0.1611	16.2818	 0	   NaN	0.0000	16.3532	0.0000	 26	"26"
  9	 1	0.9112	0.0147	0.0000	0.0000	0.1621	15.6504	 1	3.6363	1.7993	15.7460	0.0234	 80	"80"
 10	 4	0.7267	0.7441	0.0181	2.8982	0.9468	15.7685	 0	   NaN	0.0000	16.0701	0.8286	 81	"81"
 11	 3	0.3003	1.4055	0.0313	5.0149	1.6215	16.1750	 1	2.5503	0.0709	17.3753	0.4649	 82	"82"
 12	 4	0.4318	0.2173	0.0056	0.9020	0.5664	16.6707	 0	   NaN	0.0000	17.3127	0.0000	 83	"83"
 13	 0	   NaN	0.0000	0.0074	1.1804	1.7992	16.9422	 1	2.7982	1.3192	17.0269	0.3371	 84	"84"
 14	 5	0.6772	1.6102	0.0307	4.9139	1.5662	17.0386	 0	   NaN	0.0000	18.2232	0.2607	 85	"85"
 15	 5	0.3322	0.3420	0.0060	0.9645	0.3365	23.3507	 0	   NaN	0.0000	23.4791	0.0000	 86	"86"
 16	 5	0.3197	0.2971	0.0061	0.9802	0.3757	21.7518	 0	   NaN	0.0000	22.0546	0.0000	 60	"60"
 17	 4	0.0533	0.1149	0.0023	0.3756	0.1467	21.3881	 0	   NaN	0.0000	21.5311	0.0000	 61	"61"
 18	 5	0.3637	0.1699	0.0034	0.5437	0.2056	21.0804	 0	   NaN	0.0000	21.1944	0.0000	 62	"62"
 19	 5	0.0053	0.1892	0.0035	0.5536	0.2288	20.6351	 0	   NaN	0.0000	20.7895	0.0000	 63	"63"
 20	 0	   NaN	0.0000	0.0015	0.2404	0.4159	20.3912	 1	3.2372	0.3416	20.4469	0.0357	 64	"64"
 21	 5	0.3267	0.4342	0.0098	1.5716	0.5413	20.3081	 1	1.1267	0.0136	20.7106	0.0573	 65	"65"
 22	 4	0.2787	0.2174	0.0045	0.7170	0.2910	20.9581	 0	   NaN	0.0000	21.0829	0.0006	 66	"66"
 23	 4	0.3938	0.1475	0.0030	0.4841	0.2568	20.3582	 0	   NaN	0.0000	20.5839	0.0005	 80	"80"
 24	 1	3.7282	0.8510	0.0164	2.6304	2.3010	20.3670	 1	2.3782	1.4420	20.5161	0.7199	 81	"81"
 25	 4	0.2223	0.7467	0.0151	2.4103	1.0216	20.5680	 0	   NaN	0.0000	21.5994	0.0000	 82	"82"
 26	 1	0.1098	0.0263	0.0000	0.0000	0.1506	20.7820	 0	   NaN	0.0000	20.9819	0.0026	 83	"83"
 27	 2	2.8522	0.0352	0.0013	0.2111	0.1336	20.5800	 0	   NaN	0.0000	20.6017	0.0005	 84	"84"
 28	 5	0.3052	0.0989	0.0021	0.3381	0.1691	20.1777	 0	   NaN	0.0000	20.2607	0.0027	 85	"85"
 29	 1	3.4448	0.0444	0.0007	0.1138	0.2384	21.9782	 0	   NaN	0.0000	22.0079	0.0012	 86	"86"
 30	 5	0.4932	0.2840	0.0060	0.9612	0.3183	20.6666	 0	   NaN	0.0000	20.8890	0.0000	 60	"60"
 31	 3	0.5788	0.1947	0.0041	0.6550	0.2528	20.2827	 0	   NaN	0.0000	20.4818	0.0001	 61	"61"
 32	 3	0.4768	0.0717	0.0016	0.2629	0.1245	20.0470	 0	   NaN	0.0000	20.1525	0.0011	 62	"62"
 33	 0	   NaN	0.0000	0.0002	0.0389	0.0892	19.8017	 0	   NaN	0.0000	19.8335	0.0023	 63	"63"
 34	 1	3.3663	0.0273	0.0009	0.1432	0.1244	19.5665	 0	   NaN	0.0000	19.5774	0.0030	 64	"64"
 35	 4	0.0437	0.0594	0.0014	0.2286	0.1023	19.3739	 0	   NaN	0.0000	19.4355	0.0029	 65	"65"
 36	 0	   NaN	0.0000	0.0004	0.0685	0.0626	18.5879	 0	   NaN	0.0000	18.5959	0.0009	 66	"66"
 37	 2	1.2017	0.0230	0.0007	0.1137	0.0749	18.2755	 0	   NaN	0.0000	18.3009	0.0011	 40	"40"
 38	 2	0.4883	0.0227	0.0007	0.1046	0.0723	18.0855	 0	   NaN	0.0000	18.1121	0.0009	 41	"41"
 39	 1	2.6563	0.0109	0.0007	0.1156	0.0831	17.9416	 0	   NaN	0.0000	17.9653	0.0028	 42	"42"
 40	 0	   NaN	0.0000	0.0006	0.0981	0.0884	17.8123	 0	   NaN	0.0000	17.8371	0.0042	 43	"43"
 41	 4	0.1227	0.0445	0.0008	0.1349	0.0927	17.7101	 0	   NaN	0.0000	17.7384	0.0044	 44	"44"
 42	 0	   NaN	0.0000	0.0005	0.0737	0.0679	17.6033	 0	   NaN	0.0000	17.6298	0.0011	 45	"45"
 43	 0	   NaN	0.0000	0.0005	0.0794	0.0502	16.9734	 0	   NaN	0.0000	16.9992	0.0022	 46	"46"
 44	 2	1.8498	0.0301	0.0009	0.1453	0.1068	16.8074	 0	   NaN	0.0000	16.8254	0.0087	 40	"40"
 45	 1	1.1582	0.0132	0.0007	0.1171	0.1061	16.6625	 0	   NaN	0.0000	16.6982	0.0026	 41	"41"
 46	 0	   NaN	0.0000	0.0005	0.0829	0.0639	16.5278	 0	   NaN	0.0000	16.5506	0.0016	 42	"42"
 47	 0	   NaN	0.0000	0.0004	0.0621	0.0561	16.4412	 0	   NaN	0.0000	16.4577	0.0013	 43	"43"
 48	 0	   NaN	0.0000	0.0005	0.0756	0.0564	16.3532	 0	   NaN	0.0000	16.3715	0.0018	 44	"44"
 49	 0	   NaN	0.0000	0.0005	0.0746	0.0554	16.1910	 0	   NaN	0.0000	16.2084	0.0047	 45	"45"
 50	 0	   NaN	0.0000	0.0003	0.0539	0.0390	15.6004	 0	   NaN	0.0000	15.6155	0.0015	 46	"46"
 51	 0	   NaN	0.0000	0.0004	0.0661	0.0793	15.4290	 0	   NaN	0.0000	15.4447	0.0021	 20	"20"
 52	 0	   NaN	0.0000	0.0003	0.0512	0.0690	15.3402	 0	   NaN	0.0000	15.3544	0.0034	 21	"21"
 53	 0	   NaN	0.0000	0.0005	0.0740	0.0525	15.1906	 0	   NaN	0.0000	15.2054	0.0012	 22	"22"
 54	 0	   NaN	0.0000	0.0005	0.0770	0.0514	15.0389	 0	   NaN	0.0000	15.0563	0.0010	 23	"23"
 55	 0	   NaN	0.0000	0.0005	0.0774	0.0744	14.9525	 0	   NaN	0.0000	14.9726	0.0034	 24	"24"
 56	 1	3.2407	0.0104	0.0005	0.0778	0.0888	14.8377	 0	   NaN	0.0000	14.8555	0.0033	 25	"25"
 57	 2	0.4273	0.0240	0.0010	0.1569	0.0777	14.3291	 0	   NaN	0.0000	14.3670	0.0021	 26	"26"
 58	 0	   NaN	0.0000	0.0003	0.0444	0.0607	13.6928	 0	   NaN	0.0000	13.7043	0.0030	 95	"95"
 59	 0	   NaN	0.0000	0.0004	0.0580	0.0543	13.5950	 0	   NaN	0.0000	13.6064	0.0024	 60	"60"
 60	 0	   NaN	0.0000	0.0004	0.0571	0.0469	13.4869	 0	   NaN	0.0000	13.4993	0.0033	 61	"61"
 61	 0	   NaN	0.0000	0.0003	0.0542	0.0408	13.4043	 0	   NaN	0.0000	13.4158	0.0010	 62	"62"
 62	 1	1.8022	0.0127	0.0005	0.0880	0.1074	13.3002	 0	   NaN	0.0000	13.3191	0.0080	 63	"63"
 63	 0	   NaN	0.0000	0.0005	0.0762	0.0663	13.2113	 0	   NaN	0.0000	13.2263	0.0029	 64	"64"
 64	 2	1.3768	0.0283	0.0010	0.1537	0.0780	13.0906	 0	   NaN	0.0000	13.1165	0.0016	 65	"65"
 65	 0	   NaN	0.0000	0.0000	0.0000	0.0583	14.5574	 0	   NaN	0.0000	14.6186	0.0000	 66	"66"
 66	 1	0.5822	0.0104	0.0008	0.1282	0.0862	14.2014	 0	   NaN	0.0000	14.2286	0.0002	 20	"20"
 67	 3	0.2448	0.0355	0.0010	0.1591	0.0698	14.0196	 0	   NaN	0.0000	14.0554	0.0004	 21	"21"
 68	 3	0.1997	0.0387	0.0009	0.1362	0.0822	13.9046	 0	   NaN	0.0000	13.9397	0.0006	 22	"22"
 69	 1	3.0423	0.0122	0.0007	0.1167	0.0603	13.7934	 0	   NaN	0.0000	13.8246	0.0006	 23	"23"
 70	 0	   NaN	0.0000	0.0007	0.1116	0.0735	13.6699	 0	   NaN	0.0000	13.6949	0.0017	 24	"24"
 71	 0	   NaN	0.0000	0.0005	0.0850	0.0594	13.5280	 0	   NaN	0.0000	13.5490	0.0039	 25	"25"
 72	 1	2.5933	0.0162	0.0006	0.1028	0.0668	13.0766	 0	   NaN	0.0000	13.0940	0.0041	 26	"26"
 73	 0	   NaN	0.0000	0.0002	0.0383	0.0462	12.9732	 0	   NaN	0.0000	12.9896	0.0013	 40	"40"
 74	 0	   NaN	0.0000	0.0002	0.0247	0.0458	12.9101	 0	   NaN	0.0000	12.9156	0.0039	 41	"41"
 75	 0	   NaN	0.0000	0.0003	0.0546	0.0444	12.8426	 0	   NaN	0.0000	12.8537	0.0014	 42	"42"
 76	 0	   NaN	0.0000	0.0003	0.0445	0.0526	12.7919	 0	   NaN	0.0000	12.8044	0.0016	 43	"43"
 77	 0	   NaN	0.0000	0.0003	0.0531	0.0547	12.7432	 0	   NaN	0.0000	12.7544	0.0055	 44	"44"
 78	 0	   NaN	0.0000	0.0003	0.0505	0.0375	12.6558	 0	   NaN	0.0000	12.6669	0.0015	 45	"45"
 79	 0	   NaN	0.0000	0.0003	0.0482	0.0489	12.3733	 0	   NaN	0.0000	12.3829	0.0055	 46	"46"
 80	 0	   NaN	0.0000	0.0002	0.0382	0.0480	12.2847	 0	   NaN	0.0000	12.2940	0.0033	 40	"40"
 81	 0	   NaN	0.0000	0.0002	0.0389	0.0535	12.2445	 0	   NaN	0.0000	12.2528	0.0027	 41	"41"
 82	 1	1.5127	0.0110	0.0003	0.0417	0.0692	12.1679	 0	   NaN	0.0000	12.1814	0.0058	 42	"42"
 83	 0	   NaN	0.0000	0.0003	0.0417	0.0386	12.1248	 0	   NaN	0.0000	12.1352	0.0040	 43	"43"
 84	 0	   NaN	0.0000	0.0003	0.0410	0.0599	12.0510	 0	   NaN	0.0000	12.0611	0.0044	 44	"44"
 85	 0	   NaN	0.0000	0.0002	0.0371	0.0345	12.0043	 0	   NaN	0.0000	12.0142	0.0016	 45	"45"
 86	 0	   NaN	0.0000	0.0002	0.0332	0.0320	11.7315	 0	   NaN	0.0000	11.7429	0.0024	 46	"46"
 87	 0	   NaN	0.0000	0.0002	0.0316	0.0471	11.6555	 0	   NaN	0.0000	11.6642	0.0047	 80	"80"
 88	 0	   NaN	0.0000	0.0002	0.0313	0.0845	11.6190	 0	   NaN	0.0000	11.6238	0.0090	 81	"81"
 89	 5	0.7933	0.3071	0.0058	0.9261	0.2839	11.6137	 0	   NaN	0.0000	11.7551	0.1794	 82	"82"
 90	 3	1.0308	0.0773	0.0025	0.4017	0.2560	11.7239	 0	   NaN	0.0000	11.8954	0.0296	 83	"83"
 91	 0	   NaN	0.0000	0.0000	0.0000	0.0435	11.8448	 0	   NaN	0.0000	11.8702	0.0051	 84	"84"
 92	 5	0.8868	0.1455	0.0029	0.4694	0.2069	11.9011	 3	0.2117	0.0598	12.0007	0.0650	 85	"85"
 93	 0	   NaN	0.0000	0.0000	0.0000	0.0787	20.0315	 0	   NaN	0.0000	20.1521	0.0000	 86	"86"
 94	 4	0.8212	0.0628	0.0020	0.3264	0.1692	18.8265	 0	   NaN	0.0000	18.9667	0.0005	 80	"80"
 95	 5	0.2852	0.1278	0.0025	0.3979	0.1616	18.5587	 0	   NaN	0.0000	18.6509	0.0012	 81	"81"
 96	 2	0.0308	0.0245	0.0006	0.0986	0.0731	18.2478	 0	   NaN	0.0000	18.2900	0.0000	 82	"82"
 97	 0	   NaN	0.0000	0.0001	0.0212	0.0699	18.0002	 0	   NaN	0.0000	18.0111	0.0000	 83	"83"
 98	 4	0.0793	0.1146	0.0022	0.3479	0.1938	17.6897	 0	   NaN	0.0000	17.7339	0.0050	 84	"84"
 99	 5	0.5193	0.4837	0.0101	1.6192	0.4725	17.1145	 0	   NaN	0.0000	17.4330	0.0026	 85	"85"
100	 0	   NaN	0.0000	0.0003	0.0431	0.0969	19.1598	 0	   NaN	0.0000	19.1777	0.0034	 86	"86"
101	 1	2.5947	0.0124	0.0006	0.0981	0.1188	18.7774	 0	   NaN	0.0000	18.8038	0.0048	 60	"60"
102	 0	   NaN	0.0000	0.0002	0.0283	0.0602	18.5558	 0	   NaN	0.0000	18.5726	0.0015	 61	"61"
103	 0	   NaN	0.0000	0.0002	0.0400	0.0651	18.3683	 0	   NaN	0.0000	18.3829	0.0019	 62	"62"
104	 0	   NaN	0.0000	0.0006	0.0903	0.0802	18.2704	 0	   NaN	0.0000	18.2848	0.0021	 63	"63"
